"sim_year","site","year","md","ave30moistureMeasure","ave30_60moistureMeasure","ave60_100moistureMeasure","totalSoilMoistureMeasure","ID_sim","DOY","Rain","Irri","bulk_density","porosity","TW0_30","TW30_60","TW60_100","allTWsim","topPorosity"
2001,1,2001,"05-28",NA,NA,NA,NA,69,148,0,0,1.2,0.54,7.05,11.52,15.36,33.93,0.55
2001,1,2001,"05-28",NA,NA,NA,NA,67,148,0,0,1.2,0.54,7.05,11.52,15.36,33.93,0.55
2001,1,2001,"05-28",NA,NA,NA,NA,3,148,0,0,1.1,0.58,7.62,12.36,16.48,36.46,0.58
2001,1,2001,"05-28",NA,NA,NA,NA,34,148,0,0,1.15,0.56,7.32,11.94,15.92,35.18,0.57
2001,1,2001,"05-28",NA,NA,NA,NA,36,148,0,0,1.15,0.56,7.32,11.94,15.92,35.18,0.57
2001,1,2001,"05-28",NA,NA,NA,NA,1,148,0,0,1.1,0.58,7.62,12.36,16.48,36.46,0.58
2001,1,2001,"05-28",NA,NA,NA,NA,2,148,0,0,1.1,0.58,7.62,12.36,16.48,36.46,0.58
2001,1,2001,"05-29",NA,NA,NA,NA,69,149,0,0,1.2,0.54,6.96,11.52,15.36,33.84,0.55
2001,1,2001,"05-29",NA,NA,NA,NA,34,149,0,0,1.15,0.56,7.23,11.94,15.92,35.09,0.57
2001,1,2001,"05-29",NA,NA,NA,NA,2,149,0,0,1.1,0.58,7.53,12.36,16.48,36.37,0.58
2001,1,2001,"05-29",NA,NA,NA,NA,68,149,0,0,1.2,0.54,6.96,11.52,15.36,33.84,0.55
2001,1,2001,"05-29",NA,NA,NA,NA,67,149,0,0,1.2,0.54,6.96,11.52,15.36,33.84,0.55
2001,1,2001,"05-29",NA,NA,NA,NA,35,149,0,0,1.15,0.56,7.23,11.94,15.92,35.09,0.57
2001,1,2001,"05-29",NA,NA,NA,NA,1,149,0,0,1.1,0.58,7.53,12.36,16.48,36.37,0.58
2001,1,2001,"05-29",NA,NA,NA,NA,36,149,0,0,1.15,0.56,7.23,11.94,15.92,35.09,0.57
2001,1,2001,"05-29",NA,NA,NA,NA,3,149,0,0,1.1,0.58,7.53,12.36,16.48,36.37,0.58
2001,1,2001,"05-30",NA,NA,NA,NA,35,150,50,0,1.15,0.56,9.3,11.94,15.92,37.16,0.57
2001,1,2001,"05-30",NA,NA,NA,NA,3,150,50,0,1.1,0.58,9.6,12.36,16.48,38.44,0.58
2001,1,2001,"05-30",NA,NA,NA,NA,69,150,50,0,1.2,0.54,9,11.52,15.36,35.88,0.55
2001,1,2001,"05-30",NA,NA,NA,NA,68,150,50,0,1.2,0.54,9,11.52,15.36,35.88,0.55
2001,1,2001,"05-30",NA,NA,NA,NA,67,150,50,0,1.2,0.54,9,11.52,15.36,35.88,0.55
2001,1,2001,"05-30",NA,NA,NA,NA,34,150,50,0,1.15,0.56,9.3,11.94,15.92,37.16,0.57
2001,1,2001,"05-30",NA,NA,NA,NA,1,150,50,0,1.1,0.58,9.6,12.36,16.48,38.44,0.58
2001,1,2001,"05-30",NA,NA,NA,NA,36,150,50,0,1.15,0.56,9.3,11.94,15.92,37.16,0.57
2001,1,2001,"05-30",NA,NA,NA,NA,2,150,50,0,1.1,0.58,9.6,12.36,16.48,38.44,0.58
2001,1,2001,"05-31",NA,NA,NA,NA,67,151,3,0,1.2,0.54,9,11.52,15.36,35.88,0.55
2001,1,2001,"05-31",NA,NA,NA,NA,36,151,3,0,1.15,0.56,9.3,11.94,15.92,37.16,0.57
2001,1,2001,"05-31",NA,NA,NA,NA,69,151,3,0,1.2,0.54,9,11.52,15.36,35.88,0.55
2001,1,2001,"05-31",NA,NA,NA,NA,68,151,3,0,1.2,0.54,9,11.52,15.36,35.88,0.55
2001,1,2001,"05-31",NA,NA,NA,NA,35,151,3,0,1.15,0.56,9.3,11.94,15.92,37.16,0.57
2001,1,2001,"05-31",NA,NA,NA,NA,34,151,3,0,1.15,0.56,9.3,11.94,15.92,37.16,0.57
2001,1,2001,"05-31",NA,NA,NA,NA,1,151,3,0,1.1,0.58,9.6,12.36,16.48,38.44,0.58
2001,1,2001,"05-31",NA,NA,NA,NA,3,151,3,0,1.1,0.58,9.6,12.36,16.48,38.44,0.58
2001,1,2001,"05-31",NA,NA,NA,NA,2,151,3,0,1.1,0.58,9.6,12.36,16.48,38.44,0.58
2001,1,2001,"06-01",NA,NA,NA,NA,68,152,1,0,1.2,0.54,8.61,11.52,15.36,35.49,0.55
2001,1,2001,"06-01",NA,NA,NA,NA,1,152,1,0,1.1,0.58,9.24,12.36,16.48,38.08,0.58
2001,1,2001,"06-01",NA,NA,NA,NA,34,152,1,0,1.15,0.56,8.94,11.94,15.92,36.8,0.57
2001,1,2001,"06-01",NA,NA,NA,NA,67,152,1,0,1.2,0.54,8.61,11.52,15.36,35.49,0.55
2001,1,2001,"06-01",NA,NA,NA,NA,69,152,1,0,1.2,0.54,8.61,11.52,15.36,35.49,0.55
2001,1,2001,"06-01",NA,NA,NA,NA,2,152,1,0,1.1,0.58,9.24,12.36,16.48,38.08,0.58
2001,1,2001,"06-01",NA,NA,NA,NA,36,152,1,0,1.15,0.56,8.94,11.94,15.92,36.8,0.57
2001,1,2001,"06-01",NA,NA,NA,NA,35,152,1,0,1.15,0.56,8.94,11.94,15.92,36.8,0.57
2001,1,2001,"06-01",NA,NA,NA,NA,3,152,1,0,1.1,0.58,9.24,12.36,16.48,38.08,0.58
2001,1,2001,"06-02",NA,NA,NA,NA,68,153,0,0,1.2,0.54,8.25,11.52,15.36,35.13,0.55
2001,1,2001,"06-02",NA,NA,NA,NA,34,153,0,0,1.15,0.56,8.55,11.94,15.92,36.41,0.57
2001,1,2001,"06-02",NA,NA,NA,NA,67,153,0,0,1.2,0.54,8.25,11.52,15.36,35.13,0.55
2001,1,2001,"06-02",NA,NA,NA,NA,2,153,0,0,1.1,0.58,8.85,12.36,16.48,37.69,0.58
2001,1,2001,"06-02",NA,NA,NA,NA,1,153,0,0,1.1,0.58,8.85,12.36,16.48,37.69,0.58
2001,1,2001,"06-02",NA,NA,NA,NA,35,153,0,0,1.15,0.56,8.55,11.94,15.92,36.41,0.57
2001,1,2001,"06-02",NA,NA,NA,NA,36,153,0,0,1.15,0.56,8.55,11.94,15.92,36.41,0.57
2001,1,2001,"06-02",NA,NA,NA,NA,69,153,0,0,1.2,0.54,8.25,11.52,15.36,35.13,0.55
2001,1,2001,"06-02",NA,NA,NA,NA,3,153,0,0,1.1,0.58,8.85,12.36,16.48,37.69,0.58
2001,1,2001,"06-03",NA,NA,NA,NA,36,154,5,0,1.15,0.56,8.79,11.94,15.92,36.65,0.57
2001,1,2001,"06-03",NA,NA,NA,NA,35,154,5,0,1.15,0.56,8.79,11.94,15.92,36.65,0.57
2001,1,2001,"06-03",NA,NA,NA,NA,69,154,5,0,1.2,0.54,8.46,11.52,15.36,35.34,0.55
2001,1,2001,"06-03",NA,NA,NA,NA,68,154,5,0,1.2,0.54,8.46,11.52,15.36,35.34,0.55
2001,1,2001,"06-03",NA,NA,NA,NA,34,154,5,0,1.15,0.56,8.79,11.94,15.92,36.65,0.57
2001,1,2001,"06-03",NA,NA,NA,NA,3,154,5,0,1.1,0.58,9.09,12.36,16.48,37.93,0.58
2001,1,2001,"06-03",NA,NA,NA,NA,2,154,5,0,1.1,0.58,9.09,12.36,16.48,37.93,0.58
2001,1,2001,"06-03",NA,NA,NA,NA,1,154,5,0,1.1,0.58,9.09,12.36,16.48,37.93,0.58
2001,1,2001,"06-03",NA,NA,NA,NA,67,154,5,0,1.2,0.54,8.46,11.52,15.36,35.34,0.55
2001,1,2001,"06-04",NA,NA,NA,NA,34,155,4,0,1.15,0.56,9.09,11.94,15.92,36.95,0.57
2001,1,2001,"06-04",NA,NA,NA,NA,36,155,4,0,1.15,0.56,9.09,11.94,15.92,36.95,0.57
2001,1,2001,"06-04",NA,NA,NA,NA,35,155,4,0,1.15,0.56,9.09,11.94,15.92,36.95,0.57
2001,1,2001,"06-04",NA,NA,NA,NA,69,155,4,0,1.2,0.54,8.76,11.52,15.36,35.64,0.55
2001,1,2001,"06-04",NA,NA,NA,NA,68,155,4,0,1.2,0.54,8.76,11.52,15.36,35.64,0.55
2001,1,2001,"06-04",NA,NA,NA,NA,3,155,4,0,1.1,0.58,9.39,12.36,16.48,38.23,0.58
2001,1,2001,"06-04",NA,NA,NA,NA,2,155,4,0,1.1,0.58,9.39,12.36,16.48,38.23,0.58
2001,1,2001,"06-04",NA,NA,NA,NA,1,155,4,0,1.1,0.58,9.39,12.36,16.48,38.23,0.58
2001,1,2001,"06-04",NA,NA,NA,NA,67,155,4,0,1.2,0.54,8.76,11.52,15.36,35.64,0.55
2001,1,2001,"06-05",NA,NA,NA,NA,69,156,6,0,1.2,0.54,9,11.52,15.36,35.88,0.55
2001,1,2001,"06-05",NA,NA,NA,NA,36,156,6,0,1.15,0.56,9.3,11.94,15.92,37.16,0.57
2001,1,2001,"06-05",NA,NA,NA,NA,3,156,6,0,1.1,0.58,9.6,12.36,16.48,38.44,0.58
2001,1,2001,"06-05",NA,NA,NA,NA,2,156,6,0,1.1,0.58,9.6,12.36,16.48,38.44,0.58
2001,1,2001,"06-05",NA,NA,NA,NA,35,156,6,0,1.15,0.56,9.3,11.94,15.92,37.16,0.57
2001,1,2001,"06-05",NA,NA,NA,NA,34,156,6,0,1.15,0.56,9.3,11.94,15.92,37.16,0.57
2001,1,2001,"06-05",NA,NA,NA,NA,68,156,6,0,1.2,0.54,9,11.52,15.36,35.88,0.55
2001,1,2001,"06-05",NA,NA,NA,NA,67,156,6,0,1.2,0.54,9,11.52,15.36,35.88,0.55
2001,1,2001,"06-05",NA,NA,NA,NA,1,156,6,0,1.1,0.58,9.6,12.36,16.48,38.44,0.58
2001,1,2001,"06-06",NA,NA,NA,NA,34,157,0,0,1.15,0.56,9.18,11.94,15.92,37.04,0.57
2001,1,2001,"06-06",NA,NA,NA,NA,3,157,0,0,1.1,0.58,9.48,12.36,16.48,38.32,0.58
2001,1,2001,"06-06",NA,NA,NA,NA,68,157,0,0,1.2,0.54,8.85,11.49,15.36,35.7,0.55
2001,1,2001,"06-06",NA,NA,NA,NA,67,157,0,0,1.2,0.54,8.85,11.49,15.36,35.7,0.55
2001,1,2001,"06-06",NA,NA,NA,NA,69,157,0,0,1.2,0.54,8.85,11.49,15.36,35.7,0.55
2001,1,2001,"06-06",NA,NA,NA,NA,36,157,0,0,1.15,0.56,9.18,11.94,15.92,37.04,0.57
2001,1,2001,"06-06",NA,NA,NA,NA,2,157,0,0,1.1,0.58,9.48,12.36,16.48,38.32,0.58
2001,1,2001,"06-06",NA,NA,NA,NA,1,157,0,0,1.1,0.58,9.48,12.36,16.48,38.32,0.58
2001,1,2001,"06-06",NA,NA,NA,NA,35,157,0,0,1.15,0.56,9.18,11.94,15.92,37.04,0.57
2001,1,2001,"06-07",NA,NA,NA,NA,68,158,0,0,1.2,0.54,8.52,11.49,15.36,35.37,0.55
2001,1,2001,"06-07",NA,NA,NA,NA,69,158,0,0,1.2,0.54,8.52,11.49,15.36,35.37,0.55
2001,1,2001,"06-07",NA,NA,NA,NA,2,158,0,0,1.1,0.58,9.12,12.33,16.48,37.93,0.58
2001,1,2001,"06-07",NA,NA,NA,NA,67,158,0,0,1.2,0.54,8.52,11.49,15.36,35.37,0.55
